struktur,model,topic,n_items,avg_time_ms,FAA,bert_mean,accuracy_bert,clarity,context,q_work
struktur1,gemini,biology,"50,00","2.178,64","0,78","888,59","1,00","4,35","4,75","4,02"
,gemini,chemistry,"50,00","1.888,12","0,76","892,94","1,00","4,85","4,37","4,22"
,gemini,mathematics,"50,00","2.398,76","0,64","887,29","1,00","4,46","4,63","3,59"
,gemini,physics,"50,00","2.478,90","0,52","886,68","1,00","4,55","4,44","3,26"
struktur1,gemma,biology,"50,00","2.836,46","0,54","886,61","1,00","3,78","4,60","2,99"
struktur1,gemma,chemistry,"50,00","3.067,28","0,34","899,03","1,00","4,59","3,31","4,51"
struktur1,gemma,mathematics,"50,00","2.738,28","0,38","886,14","1,00","4,42","4,67","2,84"
struktur1,gemma,physics,"50,00","2.644,96","0,42","885,69","1,00","4,42","4,65","3,34"
struktur1,llama,biology,"50,00","39.511,98","0,66","874,48","1,00","3,51","3,98","2,69"
struktur1,llama,chemistry,"50,00","71.540,68","0,20","863,00","1,00","3,06","2,98","0,54"
struktur1,llama,mathematics,"50,00","8.705,64","0,30","888,03","1,00","3,02","3,45","1,78"
struktur1,llama,physics,"50,00","80.454,40","0,28","874,37","1,00","3,07","2,46","0,87"
struktur1,phi,biology,"50,00","7.304,84","0,72","868,70","1,00","2,65","3,99","3,20"
struktur1,phi,chemistry,"50,00","9.531,10","0,54","862,10","1,00","2,16","2,78","1,94"
struktur1,phi,mathematics,"50,00","17.279,78","0,32","859,77","1,00","1,19","3,27","1,40"
struktur1,phi,physics,"50,00","10.058,82","0,46","867,97","1,00","2,55","3,94","2,14"
struktur1,qwen,biology,"50,00","15.156,76","0,36","866,40","1,00","3,81","4,16","1,47"
struktur1,qwen,chemistry,"50,00","14.705,24","0,38","868,44","1,00","4,55","4,21","2,75"
struktur1,qwen,mathematics,"50,00","10.413,74","0,54","904,66","1,00","4,82","4,94","3,34"
struktur1,qwen,physics,"50,00","7.352,84","0,30","889,63","0,98","4,87","4,42","2,26"
struktur2,gemini,biology,"50,00","2.133,64","0,86","882,32","1,00","4,51","4,72","4,29"
struktur2,gemini,chemistry,"50,00","2.249,46","0,76","89,44","1,00","4,62","4,42","3,80"
struktur2,gemini,mathematics,"50,00","2.606,04","0,66","891,70","1,00","4,46","4,50","3,33"
struktur2,gemini,physics,"50,00","2.450,80","0,48","882,17","1,00","4,49","4,53","3,12"
struktur2,gemma,biology,"50,00","11.242,28","0,36","870,78","1,00","1,87","2,79","0,72"
struktur2,gemma,chemistry,"50,00","12.744,04","0,28","882,77","1,00","2,70","2,14","0,80"
struktur2,gemma,mathematics,"50,00","17.311,32","0,46","890,22","1,00","3,71","3,71","2,77"
struktur2,gemma,physics,"50,00","13.443,36","0,06","871,26","1,00","3,02","3,22","0,71"
struktur2,llama,biology,"50,00","7.442,76","0,60","87,02","1,00","3,35","3,65","2,59"
struktur2,llama,chemistry,"50,00","10.588,88","0,20","855,30","1,00","2,04","1,53","0,16"
struktur2,llama,mathematics,"50,00","20.803,32","0,28","879,60","1,00","2,41","2,92","1,09"
struktur2,llama,physics,"50,00","9.430,80","0,14","864,16","1,00","2,62","3,31","1,11"
struktur2,phi,biology,"50,00","15.339,26","0,54","862,73","1,00","2,42","3,11","2,14"
struktur2,phi,chemistry,"50,00","15.874,74","0,38","86,11","1,00","1,23","2,06","1,07"
struktur2,phi,mathematics,"50,00","12.678,20","0,38","856,89","1,00","1,85","2,59","1,11"
struktur2,phi,physics,"50,00","16.243,44","0,44","855,18","1,00","1,68","2,81","1,35"
struktur2,qwen,biology,"50,00","15.749,28","0,38","879,33","1,00","3,68","4,25","1,88"
struktur2,qwen,chemistry,"50,00","18.163,88","0,26","88,54","1,00","3,69","3,61","1,82"
struktur2,qwen,mathematics,"50,00","19.317,68","0,40","867,95","1,00","3,35","4,55","2,46"
struktur2,qwen,physics,"50,00","16.531,78","0,32","862,82","0,98","3,94","3,97","1,72"
struktur3,gemini,biology,"50,00","3.511,16","0,96","885,16","1,00","4,41","4,94","4,60"
struktur3,gemini,chemistry,"50,00","3.225,56","0,86","89,69","1,00","4,88","4,70","4,28"
struktur3,gemini,mathematics,"50,00","2.200,24","0,74","895,17","1,00","4,90","4,79","3,56"
struktur3,gemini,physics,"50,00","3.311,92","0,68","887,38","1,00","4,77","4,64","3,85"
struktur3,gemma,biology,"50,00","85.927,42","0,54","891,83","1,00","3,87","4,57","2,36"
struktur3,gemma,chemistry,"50,00","128.476,90","0,28","897,03","1,00","3,39","2,80","1,59"
struktur3,gemma,mathematics,"50,00","124.944,40","0,48","895,66","1,00","4,11","3,71","2,91"
struktur3,gemma,physics,"50,00","123.664,20","0,04","887,16","1,00","4,18","4,03","1,65"
struktur3,llama,biology,"50,00","9.185,76","0,52","869,28","1,00","2,67","3,47","1,39"
struktur3,llama,chemistry,"50,00","14.043,34","0,26","863,86","1,00","1,62","1,55","0,35"
struktur3,llama,mathematics,"50,00","9.608,58","0,22","880,33","1,00","2,78","2,81","1,18"
struktur3,llama,physics,"50,00","11.044,66","0,18","867,67","1,00","2,37","2,71","0,56"
struktur3,phi,biology,"50,00","9.953,84","0,66","866,21","1,00","2,54","3,67","2,49"
struktur3,phi,chemistry,"50,00","8.030,40","0,50","864,92","1,00","2,08","2,05","1,18"
struktur3,phi,mathematics,"50,00","9.678,46","0,38","854,02","1,00","0,59","2,36","0,80"
struktur3,phi,physics,"50,00","10.481,10","0,56","85,21","1,00","1,86","2,51","1,24"
struktur3,qwen,biology,"50,00","11.397,98","0,36","878,34","1,00","4,00","4,08","1,93"
struktur3,qwen,chemistry,"50,00","16.812,82","0,12","882,76","0,98","3,76","3,05","1,39"
struktur3,qwen,mathematics,"50,00","8.372,72","0,68","874,86","0,98","2,56","4,31","2,86"
struktur3,qwen,physics,"50,00","17.071,24","0,30","867,09","0,98","3,69","3,74","1,28"